titulo;precio;proteinas;carbohidratos;grasas;fibra;calories;texto_busqueda;norm_precio;norm_nutri;score_nutricional
CEREALES MUESLI CRUNCH CON DOS CHOCOLATES EROSKI, CAJA 500 G;2.35;9.0;63.6;16.5;0.0;0.0;cereales muesli crunch con dos chocolates eroski caja 500 g eroski;0.9409030544488712;27.27272727272727;-26.700000000000003
CEREALES SPECIAL K, CAJA 700 G;4.95;8.0;84.0;1.3;0.0;0.0;cereales special k caja 700 g eroski;0.8545816733067729;24.242424242424242;-8.98
CEREALES CON CHOCOLATE SPECIAL K, CAJA 325 G;4.35;8.2;81.0;6.1;0.0;0.0;cereales con chocolate special k caja 325 g eroski;0.8745019920318725;24.848484848484848;-13.280000000000001
CEREALES SPECIAL K, CAJA 335 G;2.45;8.0;84.0;1.3;0.0;0.0;cereales special k caja 335 g eroski;0.9375830013280212;24.242424242424242;-8.98
CEREALES NESTLÉ CHOCAPIC, CAJA 625 G;4.59;8.9;73.6;4.8;0.0;0.0;cereales nestlé chocapic caja 625 g eroski;0.8665338645418327;26.969696969696972;-15.24
CEREAL DE AVENA NESTLÉ CHEERIOS, CAJA 300 G;4.09;10.5;66.5;6.0;0.0;0.0;cereal de avena nestlé cheerios caja 300 g eroski;0.8831341301460823;31.818181818181817;-1.0199999999999996
CEREAL ORIGINAL CHOCO KRISPIES, CAJA 420 G;3.65;6.3;84.0;1.9;0.0;0.0;cereal original choco krispies caja 420 g eroski;0.897742363877822;19.090909090909093;-12.899999999999999
CEREALES RELLENOS DE AVELLANA EROSKI, BOLSA 500 G;2.1;5.2;71.0;15.0;0.0;0.0;cereales rellenos de avellana eroski bolsa 500 g eroski;0.9492031872509961;15.75757575757576;-32.04
CEREALES RELLENOS DE CHOCO, AVELLANA KELLOGG`S KRAVE, CAJA 410 G;4.49;6.6;71.0;15.0;0.0;0.0;cereales rellenos de choco avellana kelloggs krave caja 410 g eroski;0.8698539176626826;20.0;-25.08
CEREALES PÉTALOS DE TRIGO DE CHOCOLATE EROSKI, CAJA 500 G;2.0;9.1;75.0;4.4;0.0;0.0;cereales pétalos de trigo de chocolate eroski caja 500 g eroski;0.952523240371846;27.575757575757574;-16.58
CEREALES FROSTIES, CAJA 400 G;4.35;4.5;87.0;0.6;0.0;0.0;cereales frosties caja 400 g eroski;0.8745019920318725;13.636363636363635;-34.26
CEREAL SOLUBLE EKO, FRASCO 150 G;3.65;5.7;74.4;0.4;0.0;0.0;cereal soluble eko frasco 150 g eroski;0.897742363877822;17.272727272727273;-0.35999999999999943
CEREAL DE CHOCOLATE NEGRO NESTLÉ FITNESS, CAJA 375 G;4.69;8.9;68.5;8.3;0.0;0.0;cereal de chocolate negro nestlé fitness caja 375 g eroski;0.8632138114209827;26.969696969696972;-13.819999999999999
CEREALES RELLENOS DE LECHE EROSKI, BOLSA 500 G;2.4;0.0;0.0;0.0;0.0;0.0;cereales rellenos de leche eroski bolsa 500 g eroski;0.9392430278884463;0.0;0.0
